단계,종류,형식(보기:선택지),문제,보기,선택지1,선택지2,선택지3,선택지4,정답
1,맞춤법,,다음 중 맞춤법이 올바른 것을 고르시오.,,출산율이 감소했다.,출산률이 감소했다.,,,2
1,맞춤법,,다음 중 맞춤법이 올바른 것을 고르시오.,,시청률이 높다.,시청율이 높다.,,,1
2,어휘력,뜻:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,흩어지기 이전에 본래 난 곳,경유지,유적지,원생,호적,3
2,어휘력,뜻:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,범죄를 저질렀을 가능성이 있다고 의심받는 사람,용의자,피의자,피해자,증인,1
2,어휘력,뜻:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,이치와 원리를 알아내는 능력,Ethos,행운,Pathos,이성,4
2,어휘력,뜻:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,사람들이 모여 사는 일정한 구역,구획,지구,지역,격자,2
2,어휘력,뜻:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,모여서 한곳으로 좁혀진다,수렴,분산,접근,발산,1
2,어휘력,뜻:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,6일,엿새,여드레,이레,삼명일,1
2,어휘력,단어:뜻,다음 단어의 의미하는 것으로 가장 적절한 것을 고르시오.,가장 중요하고 중심이 되는 사실이나 관점,용언,요약,골자,요언,3
2,어휘력,단어:뜻,다음 단어의 의미하는 것으로 가장 적절한 것을 고르시오.,각광,사람들의 주목과 관심을 받음,빛이 사방으로 퍼짐,빛이 반사되어 눈부심,빛이 어둠 속에서 희미하게 빛남,1
2,어휘력,단어:뜻,다음 단어의 의미하는 것으로 가장 적절한 것을 고르시오.,오금,팔꿈치의 바깥쪽,무릎 뒤쪽의 오목하게 들어간 부분,발목의 안쪽 부분,손목의 관절 부분,2
2,어휘력,단어:뜻,다음 단어의 의미하는 것으로 가장 적절한 것을 고르시오.,우천 시,비가 올 경우에,경기도 우천시,필요한 경우에,강우량이 많을 때에,1
2,어휘력,단어:뜻,다음 단어의 의미하는 것으로 가장 적절한 것을 고르시오.,엄습하다,위험이나 불안 따위가 갑자기 덮쳐오다.,어떤 장소에 천천히 스며들다.,사람들이 모여들다.,어떤 기운이 사방으로 퍼지다.,1
2,어휘력,문장:뜻,다음 중 작은따옴표로 묶인 단어의 뜻을 고르시오.,위원회는 제안된 안건을 '기각'하기로 결정했다.,제안된 안건을 받아들이다.,제안된 안건을 거부하다.,제안된 안건을 수정하다.,제안된 안건을 재논의하다.,2
2,어휘력,문장:뜻,다음 중 작은따옴표로 묶인 단어의 뜻을 고르시오.,그는 '시장'한 줄도 모르고 일을 했다.,배가 고픔,물건이나 식품을 사는 장소,손님이 옴,지방자치단체의 행정책임자,1
2,어휘력,문장:뜻,다음 중 작은따옴표로 묶인 단어의 뜻을 고르시오.,기차표는 모바일 티켓으로 '갈음'합니다.,사물이나 사람을 판가름하다.,다른 것으로 바꾸어 대신하다.,일을 마무리하다.,헤아려 짐작하다.,2
2,어휘력,문장:뜻,다음 중 작은따옴표로 묶인 단어의 뜻을 고르시오.,정부는 개발도상국에 '차관'을 제공하기로 했다.,돈을 빌려주고 나중에 이자를 받는 것,조약을 맺는 것,차관(次官) 직책을 임명하는 것,물건이나 기술을 무상으로 지원하는 것,1
2,어휘력,문장:뜻,다음 중 작은따옴표로 묶인 단어의 뜻을 고르시오.,그는 '철두철미'한 계획을 세워 일을 추진했다.,겉과 속이 다르다.,매우 급하고 다급하다.,아주 간단하고 쉬운 일이다.,처음부터 끝까지 빈틈이 없다.,4
2,맞춤법,,다음 중 맞춤법이 올바른 것을 고르시오.,,세상에는 별의별 사람이 있다.,세상에는 별에별 사람이 있다.,,,1
2,맞춤법,,다음 중 맞춤법이 올바른 것을 고르시오.,,그의 손에 돈을 쥐어 주었다.,그의 손에 돈을 쥐여 주었다.,,,2
2,맞춤법,,다음 중 맞춤법이 올바른 것을 고르시오.,,결국 사달이 났다.,결국 사단이 났다.,,,1
2,맞춤법,,다음 중 맞춤법이 올바른 것을 고르시오.,,네 동생 애교깨나 부릴 것 같아.,네 동생 애교꽤나 부릴 것 같아.,,,1
2,맞춤법,,다음 중 맞춤법이 올바른 것을 고르시오.,,너는 깜빡하는 게 옥의 티야.,너는 깜빡하는 게 옥에 티야,,,2
2,맞춤법,,다음 중 맞춤법이 올바른 것을 고르시오.,,희안하다.,희환하다.,,,2
3,어휘력,뜻:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,3일 뒤를 이르는 말,그글피,모레,나흘,글피,4
3,어휘력,뜻:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,어떤 곡선 또는 면에 수직으로 접하는 선,주축,법선,사선,교선,2
3,어휘력,뜻:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,고인의 관을 운구하기 전에 거행하는 의식,장례식,영결식,제례,발인식,4
3,어휘력,뜻:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,의견이나 생각을 내놓다.,주해하다.,제언하다.,종용하다.,제도하다.,2
3,어휘력,뜻:단어,보기에 나오는 뜻에 가장 가까운 단어를 고르시오.,언행이 씩씩하다.,거쿨지다.,문존하다.,숙부드럽다.,의초롭다.,1
3,어휘력,단어:뜻,다음 단어의 의미하는 것으로 가장 적절한 것을 고르시오.,갈음하다.,일을 마무리하다.,사물을 판가름하다.,다른 것으로 바꾸어 대신하다.,헤아려 짐작하다.,3
3,어휘력,단어:뜻,다음 단어의 의미하는 것으로 가장 적절한 것을 고르시오.,제반업무,모든 일이나 사항,특정 사항과 관련된 업무,행정적인 업무,가장 중요한 업무,1
3,어휘력,단어:뜻,다음 단어의 의미하는 것으로 가장 적절한 것을 고르시오.,상계하다.,내가 받을 돈과 그에게 갚을 돈을 서로 상계하기로 했다.,그는 새 출발을 위해 과거의 기억을 모두 상계하기로 마음먹었다.,여행에 필요한 총 경비를 미리 상계해 보았다.,컴퓨터의 불필요한 파일을 상계하여 용량을 확보했다.,1
3,어휘력,단어:뜻,다음 단어의 의미하는 것으로 가장 적절한 것을 고르시오.,명징하게,들뜬 분위기 속에서,매우 화려하고 번쩍이게,냉정하고 차갑게,명확하고 분명하게,4
3,어휘력,단어:뜻,다음 단어의 의미하는 것으로 가장 적절한 것을 고르시오.,방증하다.,어떤 사실을 간접적으로 증명하다.,법적인 절차를 밟다.,어떤 사실이 옳지 않음을 증명함.,공식적인 문서로 작성하다.,1
3,어휘력,문장:뜻,다음 중 작은따옴표로 묶인 단어의 뜻을 고르시오.,너 참 '이지적인' 아이구나,남을 배려할줄 모른다.,다루기 쉬운 사람이다.,지적인 분위기가 있다,활발하고 발랄하다,3
3,어휘력,문장:뜻,다음 중 작은따옴표로 묶인 단어의 뜻을 고르시오.,할아버지의 '진갑'을 맞아 전국에서 친지들이 모였다.,회갑을 다시 맞이함,70세,61세,'지천명'의 나이,3
3,어휘력,문장:뜻,다음 중 작은따옴표로 묶인 단어의 뜻을 고르시오.,'당해' 규정을 준수해야 한다.,금년,구체적인 대상이나 범위,새롭게 통과된,관련된 모든 것,2
3,어휘력,문장:뜻,다음 중 작은따옴표로 묶인 단어의 뜻을 고르시오.,그 팀은 이번 대회도 '연패'하여 구단주에게 기쁨을 안겨 주었다.,계속해서 지다.,불리한 상황을 모면하다.,계속해서 우승하다.,한 번도 지지 않다.,3
3,어휘력,문장:뜻,다음 중 작은따옴표로 묶인 단어의 뜻을 고르시오.,회계 처리는 이미 '경료'하였다.,일을 마무리하다.,알맞게 수정하다.,장부를 작성하다.,상급자에게 보고하다.,1
3,맞춤법,,다음 중 맞춤법이 올바른 것을 고르시오.,,한 달만에 영업을 재개하였다.,그녀와 만난 지도 일주일이 지났다.,,,2
3,맞춤법,,다음 중 맞춤법이 올바른 것을 고르시오.,,쉬는 시간만큼은 보장해야한다.,난 너 밖에 없다.,,,1
3,맞춤법,,다음 중 맞춤법이 올바른 것을 고르시오.,,툇간,인삿말,수돗세,죄값,1
3,맞춤법,,다음 중 맞춤법이 올바른 것을 고르시오.,,나는 한 입을 먹었을 뿐이다.,나를 도와줄 사람은 너 뿐이다.,,,1
3,맞춤법,,다음 중 맞춤법이 올바른 것을 고르시오.,,입사 지원서를 작성중입니다,입사 지원서를 작성 중입니다,입사 지원서를 작성중 입니다,입사 지원서를 작성 중 입니다,2
3,맞춤법,,다음 중 맞춤법이 올바른 것을 고르시오.,,그는 나에게 큰 힘이 되어 주었다.,그는 나에게 큰 힘이 되어주었다.,,,1
3,맞춤법,,다음 중 맞춤법이 올바른 것을 고르시오.,,회의는 예정 대로 진행되었다.,회의는 예정대로 진행되었다.,,,2
